name,latitude,longitude,website,logo_path,description,phone
"Migas - Las Mercedes","10.482589","-66.862494","http://www.migascafe.com/EstamosAqui/17_Las-Mercedes","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/migas.gif","Cafetería y panadería","00582122394895"
"Mc Donalds - La Trinidad","10.434471","-66.868007","http://www.mcdonalds.com.ve/","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/mcdonalds.jpg","Comida rápida","00582127060000"
"Juanchi's Burguer Gourmet - Los Palos Grandes","10.503075","-66.844615","http://www.juanchisburgers.com/","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/juanchis.jpg","Restaurante de Hamburguesas","00582122835516"
"Avila Burguer - El Hatillo","10.423409","-66.823594","http://www.avilaburger.com/","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/avila_burguer.jpg","Restaurante de Hamburguesas","0582122115498"
"Memphis Restaurante","10.497778","-66.856184","No posee página web", "http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/memphis.jpg","Restaurante que reúne lo mejor de los platillos de esa icónica ciudad, Memphis","00582122677384"
"Kepen","10.484369","-66.855619","No posee página web","http://ra.ldc.usb.ve/0910336/09-10336/CcsCome/imagenes/kepen.jpg","Comida casual saludable que sabe bien y te hace bien.","00582124517875"
